iter	RMSE
0	141722.2727
1	139287.3192
2	136288.8244
3	133633.2041
4	130008.7363
5	127066.8578
6	124139.7676
7	120844.298
8	118578.2531
9	116149.6751
10	114270.2778
11	111012.8294
12	108540.63
13	105504.8462
14	102323.7249
15	100868.8755
16	98423.34624
17	96355.53586
18	94344.69998
19	92201.25594
20	89436.49416
21	86949.83894
22	85543.9111
23	83681.76468
24	82247.81366
25	80531.77883
26	78802.86781
27	77537.76082
28	76123.95802
29	74234.75373
30	72653.67457
31	71352.45048
32	69842.40873
33	68307.85463
34	67385.91609
35	65763.87019
36	64657.53601
37	62927.91782
38	61776.50013
39	60359.74597
40	59012.93039
41	57697.06248
42	56555.01681
43	55571.84684
44	54403.73196
45	53924.55447
46	52982.93466
47	51944.40728
48	51237.33554
49	50041.45542
50	48766.73874
51	47879.18906
52	47084.25208
53	46433.60997
54	45686.64819
55	45060.95865
56	44351.88115
57	43906.43453
58	43433.99992
59	42640.5185
60	42056.80456
61	41179.60673
62	40619.33738
63	39646.55961
64	39078.74699
65	38339.9576
66	37904.34582
67	37545.0934
68	36941.3763
69	36062.70171
70	35609.48737
71	35010.36079
72	34514.18811
73	34057.97962
74	33526.35795
75	33203.20276
76	32830.29291
77	32324.26103
78	32032.36484
79	31572.15501
80	31305.14498
81	30977.69835
82	30547.43798
83	30237.80668
84	29843.11665
85	29429.05892
86	29141.21931
87	28728.88832
88	28408.39557
89	28054.27433
90	27775.0201
91	27440.49186
92	26888.97865
93	26593.54991
94	26063.11419
95	25822.04119
96	25629.99261
97	25379.55332
98	25009.35612
99	24799.54534
100	24673.61694
101	24434.1666
102	24299.24373
103	24052.0426
104	23851.26112
105	23735.88474
106	23493.34149
107	23310.49488
108	23117.20801
109	22894.54395
110	22788.30427
111	22589.00859
112	22367.65191
113	22202.3831
114	22008.33008
115	21736.3307
116	21577.53713
117	21431.37663
118	21270.58536
119	21071.47848
120	20909.06753
121	20683.66979
122	20592.43032
123	20511.28838
124	20432.32124
125	20252.51967
126	20064.96838
127	19967.63215
128	19812.73706
129	19690.84422
130	19612.91321
131	19502.75696
132	19442.06319
133	19297.63136
134	19202.82886
135	19103.3292
136	18988.71297
137	18898.45184
138	18616.46625
139	18552.41833
140	18424.9882
141	18351.94397
142	18134.17524
143	17918.97826
144	17787.3351
145	17613.50174
146	17451.41613
147	17262.28965
148	17180.05553
149	17112.33594
150	17064.08534
151	17004.04498
152	16948.2047
153	16831.67966
154	16717.81757
155	16612.69224
156	16539.16138
157	16514.00821
158	16419.46221
159	16315.40983
160	16278.1513
161	16202.60952
162	16130.52324
163	16065.60845
164	15969.74559
165	15929.70662
166	15830.55593
167	15752.26007
168	15693.61713
169	15652.58893
170	15583.16234
171	15430.13718
172	15377.46729
173	15294.28183
174	15215.50797
175	15128.39882
176	15067.54588
177	14993.20694
178	14930.05902
179	14880.06794
180	14783.09627
181	14716.8495
182	14656.40253
183	14528.96202
184	14500.68187
185	14378.13348
186	14337.162
187	14219.89823
188	14167.34846
189	14139.7664
190	14091.3686
191	14026.55338
192	13967.43295
193	13903.92885
194	13865.73969
195	13804.54804
196	13749.03007
197	13699.44802
198	13643.27038
199	13592.40552
200	13493.71873
201	13431.89569
202	13381.03117
203	13336.94671
204	13308.60214
205	13260.98109
206	13240.92708
207	13198.31173
208	13152.36352
209	13116.62212
210	13097.26285
211	13048.24949
212	13008.94182
213	12991.63342
214	12978.13641
215	12964.56108
216	12923.42642
217	12894.62721
218	12852.16671
219	12824.50937
220	12784.9832
221	12716.68756
222	12678.89901
223	12652.2475
224	12621.67804
225	12589.77003
226	12553.24099
227	12526.51765
228	12514.86565
229	12479.87822
230	12420.24294
231	12398.77747
232	12387.49499
233	12353.63148
234	12329.14347
235	12291.39035
236	12280.8342
237	12233.07878
238	12213.83176
239	12178.23021
240	12162.39146
241	12138.74872
242	12112.18756
243	12100.30225
244	12089.05399
245	12079.72638
246	12071.27846
247	12035.31168
248	12025.59924
249	11984.63124
250	11948.90108
251	11912.90709
252	11889.85775
253	11863.14489
254	11839.16289
255	11798.88098
256	11784.26076
257	11750.62491
258	11718.31774
259	11698.77796
260	11687.01886
261	11678.40723
262	11654.93448
263	11624.9753
264	11590.0131
265	11583.33064
266	11550.3885
267	11527.02124
268	11520.59891
269	11490.6721
270	11470.31733
271	11459.84415
272	11437.58923
273	11429.47481
274	11391.33172
275	11373.09314
276	11332.07426
277	11324.14124
278	11295.42147
279	11264.93358
280	11234.04159
281	11227.89837
282	11208.8153
283	11157.85812
284	11134.06397
285	11124.75963
286	11118.73986
287	11088.45192
288	11039.79283
289	11016.26493
290	10990.49046
291	10981.65996
292	10935.81369
293	10921.61652
294	10915.86037
295	10882.8396
296	10858.65904
297	10853.52909
298	10814.84386
299	10806.42233
300	10788.38013
301	10769.17006
302	10765.16284
303	10746.33813
304	10742.32986
305	10707.47938
306	10683.03687
307	10626.3979
308	10585.48461
309	10579.90475
310	10554.61608
311	10535.28623
312	10521.79284
313	10483.16021
314	10459.26078
315	10437.69049
316	10428.10932
317	10400.50294
318	10395.31192
319	10388.50829
320	10367.74505
321	10362.05676
322	10328.20671
323	10293.9892
324	10289.99584
325	10247.22358
326	10239.63369
327	10224.01721
328	10197.02735
329	10139.43033
330	10117.3656
331	10093.92862
332	10079.80528
333	10064.93308
334	10056.03396
335	10045.61083
336	10008.24187
337	10003.22318
338	9971.834888
339	9951.423843
340	9928.115699
341	9910.262946
342	9904.060551
343	9892.766574
344	9874.646508
345	9869.743057
346	9857.618786
347	9837.627942
348	9824.0394
349	9795.108389
350	9771.812425
351	9732.476616
352	9713.681991
353	9703.076291
354	9686.062631
355	9654.293634
356	9643.202796
357	9628.766891
358	9622.027511
359	9598.950104
360	9571.73833
361	9546.593201
362	9516.764098
363	9510.532237
364	9497.461501
365	9474.780366
366	9455.669096
367	9441.632711
368	9414.648671
369	9395.979183
370	9370.585151
371	9353.388746
372	9340.33409
373	9314.478158
374	9290.609241
375	9279.39678
376	9269.562347
377	9256.712258
378	9244.375113
379	9233.115588
380	9216.100991
381	9204.394595
382	9194.864216
383	9183.831024
384	9176.034574
385	9164.403517
386	9110.240051
387	9085.140809
388	9067.342984
389	9046.197443
390	9020.936593
391	8996.206212
392	8984.468732
393	8962.665182
394	8949.472641
395	8929.327907
396	8901.994867
397	8892.626017
398	8880.632951
399	8868.221335
400	8856.244985
401	8831.804753
402	8824.662197
403	8804.186498
404	8797.436418
405	8771.370258
406	8764.931617
407	8749.473325
408	8731.482071
409	8712.914021
410	8705.066921
411	8688.373074
412	8682.516562
413	8674.008632
414	8624.852168
415	8618.865348
416	8605.012857
417	8588.135967
418	8567.94792
419	8554.835766
420	8551.370558
421	8517.005529
422	8469.407135
423	8454.076552
424	8447.549823
425	8410.158423
426	8390.97735
427	8368.058271
428	8364.931743
429	8331.848551
430	8327.26556
431	8319.274423
432	8300.905358
433	8278.587975
434	8263.160274
435	8247.404564
436	8240.080695
437	8224.410369
438	8218.595018
439	8191.228217
440	8185.818634
441	8175.651299
442	8164.336108
443	8138.931077
444	8115.840213
445	8103.418997
446	8083.180514
447	8049.818694
448	8011.221661
449	8000.552658
450	7984.756339
451	7958.969337
452	7952.371995
453	7941.62263
454	7901.467153
455	7890.891469
456	7881.714455
457	7869.300567
458	7867.682647
459	7852.252971
460	7826.287049
461	7816.118489
462	7813.475825
463	7799.127834
464	7789.815735
465	7787.106219
466	7769.993051
467	7749.79681
468	7746.386132
469	7731.372571
470	7714.02256
471	7704.237125
472	7694.762059
473	7691.372832
474	7687.530434
475	7672.402545
476	7661.98459
477	7647.149826
478	7639.129198
479	7623.776515
480	7604.442087
481	7598.08203
482	7580.786025
483	7567.002462
484	7558.196434
485	7522.032255
486	7513.563682
487	7510.100956
488	7490.309105
489	7473.239382
490	7459.983292
491	7446.978725
492	7424.673266
493	7409.205198
494	7393.796337
495	7378.172499
496	7318.342921
497	7315.409233
498	7294.267248
499	7282.990309
500	7274.385779
501	7256.385824
502	7242.471572
503	7228.447193
504	7221.780191
505	7209.237028
506	7195.571051
507	7181.534996
508	7148.019538
509	7141.379316
510	7120.660832
511	7117.06761
512	7101.376088
513	7088.499701
514	7074.056743
515	7052.906784
516	7018.944852
517	6997.423347
518	6988.269007
519	6965.082634
520	6946.118906
521	6938.206629
522	6935.378771
523	6914.578937
524	6904.240214
525	6897.421813
526	6893.968064
527	6882.782662
528	6869.20803
529	6858.16554
530	6849.064695
531	6827.605818
532	6824.167772
533	6811.568201
534	6803.038263
535	6796.204726
536	6791.236008
537	6784.248082
538	6768.219436
539	6749.699451
540	6727.71509
541	6698.302998
542	6678.901909
543	6664.929557
544	6657.507602
545	6644.596642
546	6641.356305
547	6612.696972
548	6607.853047
549	6593.666179
550	6580.046493
551	6577.798303
552	6573.184176
553	6522.16025
554	6513.130772
555	6483.681658
556	6471.661102
557	6455.770395
558	6453.852662
559	6449.472505
560	6440.515197
561	6431.742895
562	6408.536671
563	6404.324258
564	6400.289923
565	6385.898212
566	6371.640045
567	6369.675816
568	6358.571672
569	6333.924261
570	6326.304152
571	6316.317269
572	6302.988497
573	6298.858914
574	6294.622302
575	6277.820325
576	6256.550018
577	6252.17999
578	6249.669315
579	6233.793314
580	6227.445481
581	6208.693291
582	6202.37329
583	6198.182409
584	6193.841489
585	6178.361344
586	6174.653455
587	6150.690042
588	6148.350437
589	6139.311258
590	6129.916896
591	6122.660251
592	6110.118956
593	6095.312634
594	6076.889852
595	6073.967457
596	6055.491939
597	6031.702211
598	6025.19622
599	6015.217338
600	5998.6134
601	5988.5747
602	5976.342698
603	5961.240625
604	5958.175163
605	5937.679226
606	5929.454568
607	5914.537219
608	5910.011174
609	5907.416915
610	5887.827895
611	5878.223804
612	5870.676293
613	5862.838927
614	5860.02744
615	5857.325423
616	5846.097458
617	5844.264041
618	5800.104036
619	5783.451389
620	5781.042537
621	5775.5419
622	5764.268407
623	5761.705242
624	5747.036627
625	5739.382845
626	5737.80933
627	5716.877173
628	5709.171983
629	5692.980964
630	5679.390142
631	5665.783874
632	5661.160206
633	5648.037284
634	5627.352208
635	5615.879575
636	5606.560093
637	5604.555171
638	5596.72927
639	5588.502361
640	5570.471418
641	5568.283701
642	5561.46703
643	5558.898304
644	5546.114432
645	5529.703318
646	5515.029525
647	5505.165305
648	5503.014873
649	5501.605958
650	5494.036033
651	5476.361869
652	5471.697107
653	5462.92826
654	5441.934228
655	5429.138002
656	5426.998826
657	5414.893293
658	5411.111467
659	5405.954438
660	5392.230876
661	5376.940263
662	5367.251763
663	5360.344737
664	5353.338046
665	5347.894339
666	5341.699559
667	5337.683239
668	5326.990931
669	5310.763198
670	5295.656764
671	5291.075909
672	5283.726166
673	5269.465247
674	5258.85969
675	5252.586979
676	5243.863216
677	5239.12195
678	5225.672014
679	5221.253036
680	5218.872676
681	5214.865044
682	5209.551584
683	5186.814534
684	5181.647942
685	5175.071878
686	5158.692318
687	5147.203411
688	5145.432208
689	5129.767664
690	5112.292815
691	5101.360449
692	5090.80603
693	5084.712818
694	5079.846105
695	5063.147994
696	5053.878167
697	5044.426777
698	5035.218041
699	5024.124485
700	5013.910568
701	5004.222666
702	4986.23054
703	4981.493743
704	4979.603999
705	4975.350627
706	4965.523045
707	4962.383902
708	4950.595377
709	4943.215925
710	4929.53198
711	4919.601663
712	4913.622303
713	4901.935468
714	4895.990543
715	4893.080354
716	4881.275891
717	4870.762021
718	4865.572293
719	4852.849567
720	4845.549171
721	4828.6943
722	4826.943865
723	4818.414682
724	4805.880231
725	4801.385371
726	4791.689686
727	4789.710236
728	4786.997653
729	4776.064406
730	4774.573094
731	4771.076534
732	4764.39108
733	4762.070237
734	4734.828675
735	4728.711079
736	4713.751799
737	4710.986661
738	4697.48703
739	4692.65149
740	4685.047092
741	4683.484048
742	4677.298937
743	4669.365739
744	4665.959762
745	4663.779411
746	4662.907346
747	4658.755688
748	4651.60904
749	4648.281777
750	4644.350013
751	4637.406131
752	4623.390514
753	4619.206971
754	4612.58168
755	4608.681444
756	4596.765775
757	4589.798932
758	4583.924429
759	4578.74116
760	4571.912688
761	4561.270228
762	4547.856397
763	4538.721311
764	4532.143238
765	4523.810706
766	4520.457353
767	4516.419428
768	4512.75007
769	4500.160476
770	4489.300417
771	4481.854487
772	4468.79506
773	4467.044194
774	4461.688963
775	4455.365809
776	4443.79224
777	4442.365901
778	4438.284195
779	4437.009364
780	4430.471069
781	4426.668025
