iter	Passed	Remaining
0	1	1152
1	2	1033
2	2	972
3	3	896
4	4	830
5	5	828
6	5	803
7	6	799
8	7	806
9	8	817
10	9	809
11	9	807
12	10	797
13	11	785
14	11	774
15	12	782
16	13	789
17	14	781
18	14	770
19	15	756
20	16	754
21	16	746
22	17	740
23	18	738
24	19	747
25	20	772
26	21	765
27	21	759
28	22	753
29	23	752
30	24	752
31	25	758
32	26	773
33	27	783
34	28	788
35	30	814
36	31	814
37	32	827
38	33	825
39	34	822
40	34	814
41	35	807
42	35	800
43	38	826
44	38	823
45	39	818
46	40	811
47	40	806
48	41	803
49	42	799
50	42	796
51	43	799
52	44	799
53	45	795
54	46	796
55	46	791
56	47	786
57	48	785
58	49	787
59	50	783
60	50	778
61	51	777
62	51	773
63	52	771
64	53	766
65	53	761
66	54	756
67	55	754
68	55	752
69	56	750
70	57	746
71	57	741
72	58	738
73	58	736
74	59	732
75	60	736
76	61	734
77	61	730
78	62	727
79	62	722
80	63	718
81	63	714
82	64	710
83	65	708
84	65	707
85	66	706
86	67	704
87	67	702
88	68	699
89	68	695
90	69	692
91	69	688
92	70	684
93	70	680
94	71	677
95	71	674
96	72	671
97	72	670
98	109	993
99	110	992
100	110	985
101	111	979
102	111	973
103	112	966
104	112	960
105	113	954
106	113	949
107	114	944
108	114	939
109	115	934
110	116	929
111	116	924
112	117	919
113	117	914
114	118	909
115	118	905
116	119	903
117	120	899
118	120	895
119	121	891
120	122	887
121	122	884
122	123	881
123	125	886
124	126	884
125	127	882
126	128	880
127	128	876
128	129	872
129	129	869
130	130	865
131	130	861
132	131	859
133	132	856
134	133	855
135	134	852
136	134	848
137	135	844
138	135	840
139	136	837
140	136	833
141	137	830
142	138	827
143	138	824
144	139	820
145	139	817
146	140	814
147	140	810
148	141	807
149	141	803
150	142	800
151	142	796
152	143	793
153	143	790
154	144	790
155	145	788
156	146	785
157	146	782
158	147	780
159	148	777
160	148	773
161	148	770
162	149	766
163	149	764
164	150	761
165	150	757
166	151	754
167	151	750
168	152	747
169	152	744
170	152	740
171	153	737
172	153	734
173	154	731
174	154	728
175	154	725
176	155	722
177	155	718
178	156	716
179	156	713
180	157	710
181	157	707
182	157	704
183	158	701
184	158	700
185	159	697
186	159	694
187	160	691
188	160	688
189	160	686
190	161	683
191	161	680
192	162	678
193	162	675
194	162	672
195	163	670
196	163	667
197	164	664
198	164	662
199	164	659
200	165	657
201	165	655
202	166	652
203	166	650
204	167	648
205	167	646
206	168	644
207	168	641
208	169	639
209	169	637
210	169	635
211	170	632
212	170	630
213	171	628
214	172	630
215	173	628
216	173	626
217	174	625
218	175	624
219	175	622
220	177	625
221	178	624
222	178	621
223	179	620
224	179	619
225	180	617
226	180	615
227	181	614
228	182	613
229	182	611
230	183	609
231	183	607
232	183	605
233	184	603
234	184	601
235	185	600
236	186	599
237	186	598
238	187	597
239	188	595
240	188	594
241	189	593
242	189	591
243	190	590
244	191	589
245	191	588
246	192	588
247	194	588
248	194	586
249	195	585
250	195	583
251	195	581
252	196	579
253	196	577
254	197	576
255	197	574
256	198	573
257	198	571
258	199	570
259	199	568
260	200	567
261	200	565
262	201	563
263	201	562
264	202	560
265	202	558
266	202	557
267	203	555
268	203	553
269	204	552
270	204	550
271	205	549
272	205	547
273	206	546
274	206	544
275	207	543
276	207	541
277	208	540
278	208	539
279	209	537
280	209	536
281	210	534
282	210	533
283	211	532
284	211	530
285	211	529
286	212	527
287	213	526
288	213	525
289	214	524
290	214	522
291	215	521
292	215	519
293	215	518
294	216	517
295	217	516
296	217	514
297	217	513
298	218	511
299	218	510
300	219	509
301	219	507
302	220	506
303	220	505
304	221	504
305	221	502
306	222	501
307	222	500
308	223	498
309	223	497
310	223	495
311	224	494
312	224	493
313	225	491
314	225	490
315	226	489
316	226	488
317	227	488
318	228	487
319	228	486
320	229	485
321	229	484
322	230	483
323	231	482
324	231	481
325	232	480
326	233	479
327	233	478
328	234	477
329	234	476
330	235	475
331	235	474
332	237	476
333	238	475
334	239	474
335	240	475
336	241	474
337	241	473
338	242	472
339	243	471
340	243	470
341	244	469
342	244	468
343	245	467
344	245	466
345	246	465
346	246	464
347	247	463
348	248	462
349	248	461
350	249	460
351	249	459
352	250	458
353	250	457
354	251	456
355	251	454
356	252	454
357	253	453
358	253	452
359	254	451
360	254	451
361	255	450
362	256	449
363	256	448
364	256	447
365	257	445
366	257	444
367	258	443
368	258	442
369	259	441
370	259	440
371	260	439
372	260	438
373	261	437
374	261	435
375	261	434
376	262	433
377	262	432
378	263	431
379	263	430
380	264	429
381	264	428
382	265	427
383	266	427
384	266	426
385	267	425
386	268	424
387	268	423
388	269	422
389	269	421
390	270	420
391	270	420
392	271	419
393	271	418
394	272	417
395	273	416
396	273	415
397	274	414
398	274	413
399	275	412
400	275	411
401	276	410
402	276	409
403	277	408
404	277	408
405	278	407
406	279	406
407	279	406
408	280	405
409	280	404
410	281	403
411	281	402
412	282	401
413	282	400
414	283	399
415	283	398
416	284	397
417	284	396
418	285	395
419	285	394
420	286	393
421	286	392
422	287	391
423	287	390
424	288	390
425	289	389
426	289	388
427	290	387
428	290	386
429	291	385
430	291	384
431	292	384
432	292	383
433	293	383
434	294	382
435	295	381
436	297	382
437	297	382
438	298	381
439	298	380
440	299	379
441	300	378
442	300	378
