Year,Region,Month,Sales_USD_1000
1986,Americas,January,555850.0
1986,Americas,February,633465.0
1986,Americas,March,756220.0
1986,Americas,April,689470.0
1986,Americas,May,718336.0
1986,Americas,June,797014.0
1986,Americas,July,707784.0
1986,Americas,August,697506.0
1986,Americas,September,803392.0
1986,Americas,October,702111.0
1986,Americas,November,673104.0
1986,Americas,December,774305.0
1986,Europe,January,346467.0
1986,Europe,February,401765.0
1986,Europe,March,461912.0
1986,Europe,April,436798.0
1986,Europe,May,446171.0
1986,Europe,June,472555.0
1986,Europe,July,439444.0
1986,Europe,August,426172.0
1986,Europe,September,507467.0
1986,Europe,October,493835.0
1986,Europe,November,431645.0
1986,Europe,December,479532.0
1986,Japan,January,638547.0
1986,Japan,February,750366.0
1986,Japan,March,840215.0
1986,Japan,April,838082.0
1986,Japan,May,870515.0
1986,Japan,June,922481.0
1986,Japan,July,996881.0
1986,Japan,August,914476.0
1986,Japan,September,971103.0
1986,Japan,October,949854.0
1986,Japan,November,875638.0
1986,Japan,December,882567.0
1986,Asia Pacific,January,105050.0
1986,Asia Pacific,February,115746.0
1986,Asia Pacific,March,147968.0
1986,Asia Pacific,April,156420.0
1986,Asia Pacific,May,167537.0
1986,Asia Pacific,June,185026.0
1986,Asia Pacific,July,186067.0
1986,Asia Pacific,August,187628.0
1986,Asia Pacific,September,208132.0
1986,Asia Pacific,October,196243.0
1986,Asia Pacific,November,191042.0
1986,Asia Pacific,December,205455.0
1986,Worldwide,January,1645914.0
1986,Worldwide,February,1901342.0
1986,Worldwide,March,2206315.0
1986,Worldwide,April,2120770.0
1986,Worldwide,May,2202559.0
1986,Worldwide,June,2377076.0
1986,Worldwide,July,2330176.0
1986,Worldwide,August,2225782.0
1986,Worldwide,September,2490094.0
1986,Worldwide,October,2342043.0
1986,Worldwide,November,2171429.0
1986,Worldwide,December,2341859.0
1987,Americas,January,662316.0
1987,Americas,February,695384.0
1987,Americas,March,879953.0
1987,Americas,April,783070.0
1987,Americas,May,819071.0
1987,Americas,June,934011.0
1987,Americas,July,851790.0
1987,Americas,August,875491.0
1987,Americas,September,996212.0
1987,Americas,October,896818.0
1987,Americas,November,879017.0
1987,Americas,December,986071.0
1987,Europe,January,446216.0
1987,Europe,February,460982.0
1987,Europe,March,551635.0
1987,Europe,April,483195.0
1987,Europe,May,522679.0
1987,Europe,June,542275.0
1987,Europe,July,459319.0
1987,Europe,August,456098.0
1987,Europe,September,587787.0
1987,Europe,October,538082.0
1987,Europe,November,559245.0
1987,Europe,December,580580.0
1987,Japan,January,839651.0
1987,Japan,February,885850.0
1987,Japan,March,947246.0
1987,Japan,April,937335.0
1987,Japan,May,980361.0
1987,Japan,June,1064083.0
1987,Japan,July,1093292.0
1987,Japan,August,1000056.0
1987,Japan,September,1157494.0
1987,Japan,October,1190420.0
1987,Japan,November,1271073.0
1987,Japan,December,1364929.0
1987,Asia Pacific,January,189473.0
1987,Asia Pacific,February,218174.0
1987,Asia Pacific,March,258402.0
1987,Asia Pacific,April,270392.0
1987,Asia Pacific,May,285919.0
1987,Asia Pacific,June,307717.0
1987,Asia Pacific,July,299726.0
1987,Asia Pacific,August,290902.0
1987,Asia Pacific,September,300332.0
1987,Asia Pacific,October,296872.0
1987,Asia Pacific,November,304696.0
1987,Asia Pacific,December,328760.0
1987,Worldwide,January,2137656.0
1987,Worldwide,February,2260390.0
1987,Worldwide,March,2637236.0
1987,Worldwide,April,2473992.0
1987,Worldwide,May,2608030.0
1987,Worldwide,June,2848086.0
1987,Worldwide,July,2704127.0
1987,Worldwide,August,2622547.0
1987,Worldwide,September,3041825.0
1987,Worldwide,October,2922192.0
1987,Worldwide,November,3014031.0
1987,Worldwide,December,3260340.0
1988,Americas,January,905615.0
1988,Americas,February,960564.0
1988,Americas,March,1128942.0
1988,Americas,April,1016859.0
1988,Americas,May,1081031.0
1988,Americas,June,1248108.0
1988,Americas,July,1119216.0
1988,Americas,August,1162241.0
1988,Americas,September,1276955.0
1988,Americas,October,1122817.0
1988,Americas,November,1162138.0
1988,Americas,December,1233554.0
1988,Europe,January,549355.0
1988,Europe,February,619132.0
1988,Europe,March,755057.0
1988,Europe,April,646877.0
1988,Europe,May,666687.0
1988,Europe,June,766987.0
1988,Europe,July,586428.0
1988,Europe,August,608248.0
