year,company,country_iso3,process_node_nm,fab_type,monthly_wafer_capacity,fab_started_year,ticker,segment,revenue_usd_bn,operating_margin_pct,operating_income_usd_bn,rd_spend_usd_bn,capex_usd_bn,ai_chip_launches,total_ai_shipments,total_ai_revenue_m,avg_memory_gb,avg_fp16_tflops,avg_tdp,avg_chip_price,highest_chip_price,lowest_chip_price,export_control_events,avg_severity_score,us_actions,china_actions,netherlands_actions,worldwide_sales,average_monthly_sales,max_monthly_sales,fab_age,rd_ratio,capex_ratio,operating_income_ratio,ai_revenue_per_chip,sales_per_launch,price_spread,company_fab_age_ratio,shipments_per_launch,revenue_per_ai_launch,profit_margin,performance_score,performance_per_watt,price_index,price_volatility,export_risk_score,geo_risk,innovation_score,investment_score,ai_market_score,sales_variation,growth_potential
2022,TSMC,TWN,3,logic_leading,0,2022,TSM,foundry,74.93,38.9,29.18,5.99,33.72,8.0,152204.0,2283.0,43.0,236.875,290.625,80.2238888888889,278.45,2.05,4.0,9.0,4.0,0.0,0.0,1148168388.0,19136139.8,54549224.0,0,0.0799412774597454,0.4500200126782328,0.3894301295952204,0.0149995072435202,127574265.33333331,276.4,0.0,16911.555555555555,253.66666666666666,0.38943012959522044,10185.625,0.8122588941277326,0.28707779169400216,3.402939748158382,36.0,4.0,53.910000000000004,39.71,12.210396784444447,35413084.2,39.71
2023,TSMC,TWN,3,logic_leading,38445,2022,TSM,foundry,70.42,41.1,28.94,5.63,31.69,15.0,991098.0,23611.1,156.0,414.9333333333333,343.8,7427.86695652174,35640.01,1.38,7.0,7.428571428571429,3.0,3.0,1.0,1053770850.0,17562847.5,51618069.0,1,0.0799488770242988,0.4500141941207868,0.4109627888247261,0.023823149856876,65860678.125,35638.630000000005,0.25,61943.625,1475.69375,0.4109627888247261,64729.59999999999,1.2034029389017786,0.20840786937636557,4.797317034829,52.0,7.0,90.08,37.32,7361.744084874784,34055221.5,37.32
2024,TSMC,TWN,3,logic_leading,80106,2022,TSM,foundry,88.89,41.3,36.71,7.11,40.0,26.0,4904042.0,109819.4,145.5,804.6923076923077,1360.7692307692307,9161.659411764706,42124.09,1.91,6.0,6.666666666666667,4.0,2.0,0.0,1261097212.0,21018286.866666667,61310821.0,2,0.079986499268911,0.4499943700079382,0.4129823330747853,0.0223936454064534,46707304.14814815,42122.17999999999,0.5,181631.1851851852,4067.385185185185,0.4129823330747853,117082.73076923078,0.5909167937637689,0.2174869991201136,4.597156579444151,40.0,6.0,191.97,47.11,44929.16254498941,40292534.13333333,47.11
2025,TSMC,TWN,3,logic_leading,129646,2022,TSM,foundry,108.13,38.8,41.93,8.65,48.66,30.0,4876006.0,112487.8,147.96666666666667,927.7333333333332,1270.2666666666669,11861.496,37949.43,1.8,7.0,6.857142857142857,6.0,1.0,0.0,1591280610.0,26521343.5,85348277.0,3,0.0799963000092823,0.4500138680290958,0.3877739721837235,0.0230696551502079,51331632.58064516,37947.63,0.75,157290.51612903227,3628.6387096774192,0.38777397218372356,137273.60888888888,0.7297708322408095,0.31255234789171027,3.1989582968036405,48.0,7.0,268.15000000000003,57.309999999999995,57836.725664975995,58826933.5,57.309999999999995
2026,TSMC,TWN,3,logic_leading,136143,2022,TSM,foundry,113.25,37.6,42.53,9.06,50.96,30.0,2935334.0,70687.7,147.96666666666667,927.7333333333332,1270.2666666666669,10463.3045,33556.33,2.09,3.0,8.0,2.0,1.0,0.0,1088320154.0,43532806.16,131937729.0,4,0.0799999992935982,0.4499779209714974,0.3755408355360632,0.0240816465582292,35107101.741935484,33554.240000000005,1.0,94688.19354838709,2280.248387096774,0.37554083553606327,137273.60888888888,0.7297708322408095,0.31180384434637676,3.2065427759675766,24.0,3.0,280.86,60.02,30713.293451203,88404922.84,60.02
2020,TSMC,TWN,5,logic_leading,0,2020,TSM,foundry,45.25,38.0,17.18,3.62,20.36,4.0,40006.0,600.1,34.0,197.75,307.5,3.8054166666666656,4.82,2.71,3.0,8.0,3.0,0.0,0.0,880778716.0,14679645.266666668,41756367.0,0,0.0799999982320442,0.4499447414376852,0.3796684998968287,0.0149998750218711,176155743.2,2.1100000000000003,0.0,8001.2,120.02000000000001,0.37966849989682877,6723.5,0.6410048622366289,0.6538516609392896,0.4390878349085235,24.0,3.0,18.1,23.98,0.15223949916666663,27076721.733333334,23.98
2021,TSMC,TWN,5,logic_leading,53296,2020,TSM,foundry,62.97,39.5,24.9,5.04,28.34,7.0,209085.0,3136.2000000000003,44.57142857142857,243.57142857142856,307.1428571428572,4.252083333333333,5.1,2.93,1.0,5.0,1.0,0.0,0.0,1111785028.0,18529750.466666665,52923444.0,1,0.0800381121162758,0.450055574876043,0.3954263872411245,0.0149995695551112,138973128.5,2.1699999999999995,0.16666666666666666,26135.625,392.02500000000003,0.39542638724112456,10856.326530612243,0.7904496986555398,0.6970628415300547,0.41316937723125735,5.0,1.0,40.32,33.38,0.88904684375,34393693.53333333,33.38
2022,TSMC,TWN,5,logic_leading,95116,2020,TSM,foundry,74.93,38.9,29.18,5.99,33.72,8.0,152204.0,2283.0,43.0,236.875,290.625,80.2238888888889,278.45,2.05,4.0,9.0,4.0,0.0,0.0,1148168388.0,19136139.8,54549224.0,2,0.0799412774597454,0.4500200126782328,0.3894301295952204,0.0149995072435202,127574265.33333331,276.4,0.3333333333333333,16911.555555555555,253.66666666666666,0.38943012959522044,10185.625,0.8122588941277326,0.28707779169400216,3.402939748158382,36.0,4.0,53.910000000000004,39.71,12.210396784444447,35413084.2,39.71
2023,TSMC,TWN,5,logic_leading,163173,2020,TSM,foundry,70.42,41.1,28.94,5.63,31.69,15.0,991098.0,23611.1,156.0,414.9333333333333,343.8,7427.86695652174,35640.01,1.38,7.0,7.428571428571429,3.0,3.0,1.0,1053770850.0,17562847.5,51618069.0,3,0.0799488770242988,0.4500141941207868,0.4109627888247261,0.023823149856876,65860678.125,35638.630000000005,0.5,61943.625,1475.69375,0.4109627888247261,64729.59999999999,1.2034029389017786,0.20840786937636557,4.797317034829,52.0,7.0,90.08,37.32,7361.744084874784,34055221.5,37.32
2024,TSMC,TWN,5,logic_leading,146070,2020,TSM,foundry,88.89,41.3,36.71,7.11,40.0,26.0,4904042.0,109819.4,145.5,804.6923076923077,1360.7692307692307,9161.659411764706,42124.09,1.91,6.0,6.666666666666667,4.0,2.0,0.0,1261097212.0,21018286.866666667,61310821.0,4,0.079986499268911,0.4499943700079382,0.4129823330747853,0.0223936454064534,46707304.14814815,42122.17999999999,0.6666666666666666,181631.1851851852,4067.385185185185,0.4129823330747853,117082.73076923078,0.5909167937637689,0.2174869991201136,4.597156579444151,40.0,6.0,191.97,47.11,44929.16254498941,40292534.13333333,47.11
2025,TSMC,TWN,5,logic_leading,165947,2020,TSM,foundry,108.13,38.8,41.93,8.65,48.66,30.0,4876006.0,112487.8,147.96666666666667,927.7333333333332,1270.2666666666669,11861.496,37949.43,1.8,7.0,6.857142857142857,6.0,1.0,0.0,1591280610.0,26521343.5,85348277.0,5,0.0799963000092823,0.4500138680290958,0.3877739721837235,0.0230696551502079,51331632.58064516,37947.63,0.8333333333333334,157290.51612903227,3628.6387096774192,0.38777397218372356,137273.60888888888,0.7297708322408095,0.31255234789171027,3.1989582968036405,48.0,7.0,268.15000000000003,57.309999999999995,57836.725664975995,58826933.5,57.309999999999995
2026,TSMC,TWN,5,logic_leading,165561,2020,TSM,foundry,113.25,37.6,42.53,9.06,50.96,30.0,2935334.0,70687.7,147.96666666666667,927.7333333333332,1270.2666666666669,10463.3045,33556.33,2.09,3.0,8.0,2.0,1.0,0.0,1088320154.0,43532806.16,131937729.0,6,0.0799999992935982,0.4499779209714974,0.3755408355360632,0.0240816465582292,35107101.741935484,33554.240000000005,1.0,94688.19354838709,2280.248387096774,0.37554083553606327,137273.60888888888,0.7297708322408095,0.31180384434637676,3.2065427759675766,24.0,3.0,280.86,60.02,30713.293451203,88404922.84,60.02
2018,TSMC,TWN,7,logic_leading,0,2018,TSM,foundry,34.58,37.1,12.84,2.77,15.56,0.0,0.0,0.0,0.0,0.0,0.0,6.297499999999999,8.43,4.13,1.0,5.0,1.0,0.0,0.0,937556570.0,15625942.833333334,44840672.0,0,0.0801041041034093,0.4499710685375631,0.371312886890894,0.0,937556570.0,4.3,0.0,0.0,0.0,0.371312886890894,0.0,0.0,0.6678154825026511,0.5892428914011648,5.0,1.0,2.77,18.330000000000002,0.0,29214729.166666664,18.330000000000002
2019,TSMC,TWN,7,logic_leading,42633,2018,TSM,foundry,40.91,39.9,16.3,3.27,18.41,0.0,0.0,0.0,0.0,0.0,0.0,4.458333333333333,6.97,2.85,2.0,6.0,2.0,0.0,0.0,824613952.0,13743565.866666667,38651660.0,1,0.0799315551226703,0.4500122109505693,0.3984355805808952,0.0,824613952.0,4.119999999999999,0.125,0.0,0.0,0.3984355805808952,0.0,0.0,0.5593893768297783,0.7548091603053434,12.0,2.0,3.27,21.68,0.0,24908094.133333333,21.68
2020,TSMC,TWN,7,logic_leading,92536,2018,TSM,foundry,45.25,38.0,17.18,3.62,20.36,4.0,40006.0,600.1,34.0,197.75,307.5,3.8054166666666656,4.82,2.71,3.0,8.0,3.0,0.0,0.0,880778716.0,14679645.266666668,41756367.0,2,0.0799999982320442,0.4499447414376852,0.3796684998968287,0.0149998750218711,176155743.2,2.1100000000000003,0.25,8001.2,120.02000000000001,0.37966849989682877,6723.5,0.6410048622366289,0.6538516609392896,0.4390878349085235,24.0,3.0,18.1,23.98,0.15223949916666663,27076721.733333334,23.98
2021,TSMC,TWN,7,logic_leading,129499,2018,TSM,foundry,62.97,39.5,24.9,5.04,28.34,7.0,209085.0,3136.2000000000003,44.57142857142857,243.57142857142856,307.1428571428572,4.252083333333333,5.1,2.93,1.0,5.0,1.0,0.0,0.0,1111785028.0,18529750.466666665,52923444.0,3,0.0800381121162758,0.450055574876043,0.3954263872411245,0.0149995695551112,138973128.5,2.1699999999999995,0.375,26135.625,392.02500000000003,0.39542638724112456,10856.326530612243,0.7904496986555398,0.6970628415300547,0.41316937723125735,5.0,1.0,40.32,33.38,0.88904684375,34393693.53333333,33.38
2022,TSMC,TWN,7,logic_leading,146937,2018,TSM,foundry,74.93,38.9,29.18,5.99,33.72,8.0,152204.0,2283.0,43.0,236.875,290.625,80.2238888888889,278.45,2.05,4.0,9.0,4.0,0.0,0.0,1148168388.0,19136139.8,54549224.0,4,0.0799412774597454,0.4500200126782328,0.3894301295952204,0.0149995072435202,127574265.33333331,276.4,0.5,16911.555555555555,253.66666666666666,0.38943012959522044,10185.625,0.8122588941277326,0.28707779169400216,3.402939748158382,36.0,4.0,53.910000000000004,39.71,12.210396784444447,35413084.2,39.71
2023,TSMC,TWN,7,logic_leading,151030,2018,TSM,foundry,70.42,41.1,28.94,5.63,31.69,15.0,991098.0,23611.1,156.0,414.9333333333333,343.8,7427.86695652174,35640.01,1.38,7.0,7.428571428571429,3.0,3.0,1.0,1053770850.0,17562847.5,51618069.0,5,0.0799488770242988,0.4500141941207868,0.4109627888247261,0.023823149856876,65860678.125,35638.630000000005,0.625,61943.625,1475.69375,0.4109627888247261,64729.59999999999,1.2034029389017786,0.20840786937636557,4.797317034829,52.0,7.0,90.08,37.32,7361.744084874784,34055221.5,37.32
2024,TSMC,TWN,7,logic_leading,134531,2018,TSM,foundry,88.89,41.3,36.71,7.11,40.0,26.0,4904042.0,109819.4,145.5,804.6923076923077,1360.7692307692307,9161.659411764706,42124.09,1.91,6.0,6.666666666666667,4.0,2.0,0.0,1261097212.0,21018286.866666667,61310821.0,6,0.079986499268911,0.4499943700079382,0.4129823330747853,0.0223936454064534,46707304.14814815,42122.17999999999,0.75,181631.1851851852,4067.385185185185,0.4129823330747853,117082.73076923078,0.5909167937637689,0.2174869991201136,4.597156579444151,40.0,6.0,191.97,47.11,44929.16254498941,40292534.13333333,47.11
