year,company,country_iso3,process_node_nm,fab_type,monthly_wafer_capacity,fab_started_year,ticker,segment,revenue_usd_bn,operating_margin_pct,operating_income_usd_bn,rd_spend_usd_bn,capex_usd_bn,ai_chip_launches,total_ai_shipments,total_ai_revenue_m,avg_memory_gb,avg_fp16_tflops,avg_tdp,avg_chip_price,highest_chip_price,lowest_chip_price,export_control_events,avg_severity_score,us_actions,china_actions,netherlands_actions,worldwide_sales,average_monthly_sales,max_monthly_sales,fab_age,rd_ratio,capex_ratio,operating_income_ratio,ai_revenue_per_chip,sales_per_launch,price_spread,company_fab_age_ratio,shipments_per_launch,revenue_per_ai_launch,profit_margin,performance_score,performance_per_watt,price_index,price_volatility,export_risk_score,geo_risk,innovation_score,investment_score,ai_market_score,sales_variation,growth_potential
2022,TSMC,TWN,3,logic_leading,0,2022,TSM,foundry,74.93,38.9,29.18,5.99,33.72,8.0,152204.0,2283.0,43.0,236.875,290.625,80.2238888888889,278.45,2.05,4.0,9.0,4.0,0.0,0.0,1148168388.0,19136139.8,54549224.0,0,0.0799412774597454,0.45002001267823283,0.38943012959522044,0.014999507243520253,127574265.33333333,276.4,0.0,16911.555555555555,253.66666666666666,38.9,10185.625,0.8122588941277326,0.28707779169400216,3.402939748158382,36.0,13.0,63.95302196779632,17.505778493183257,36.0533225,35413084.2,3.5975174695948757
2023,TSMC,TWN,3,logic_leading,38445,2022,TSM,foundry,70.42,41.1,28.94,5.63,31.69,15.0,991098.0,23611.1,156.0,414.9333333333333,343.8,7427.86695652174,35640.01,1.38,7.0,7.428571428571429,3.0,3.0,1.0,1053770850.0,17562847.5,51618069.0,1,0.07994887702429881,0.4500141941207868,0.4109627888247261,0.02382314985687605,65860678.125,35638.630000000005,0.0004940711462450593,61943.625,1475.69375,41.1,64729.59999999999,1.2034029389017786,0.20840786937636557,4.797317034829,52.0,14.428571428571429,119.92331553644821,18.495583378364337,411.23959679999996,34055221.5,3.5978129464951722
2024,TSMC,TWN,3,logic_leading,80106,2022,TSM,foundry,88.89,41.3,36.71,7.11,40.0,26.0,4904042.0,109819.4,145.5,804.6923076923077,1360.7692307692307,9161.659411764706,42124.09,1.91,6.0,6.666666666666667,4.0,2.0,0.0,1261097212.0,21018286.866666667,61310821.0,2,0.07998649926891102,0.44999437000793824,0.4129823330747853,0.02239364540645341,46707304.14814815,42122.17999999999,0.0009876543209876543,181631.1851851852,4067.385185185185,41.3,117082.73076923078,0.5909167937637689,0.2174869991201136,4.597156579444151,40.0,12.666666666666668,207.96489809916866,18.584767481327848,3946.244874,40292534.13333333,3.5993474347654026
2025,TSMC,TWN,3,logic_leading,129646,2022,TSM,foundry,108.13,38.8,41.93,8.65,48.66,30.0,4876006.0,112487.8,147.96666666666667,927.7333333333332,1270.2666666666669,11861.496,37949.43,1.8,7.0,6.857142857142857,6.0,1.0,0.0,1591280610.0,26521343.5,85348277.0,3,0.07999630000928236,0.4500138680290958,0.38777397218372356,0.023069655150207948,51331632.58064516,37947.63,0.0014807502467917078,157290.51612903227,3628.6387096774192,38.8,137273.60888888888,0.7297708322408095,0.31255234789171027,3.1989582968036405,48.0,13.857142857142858,239.9889000278471,17.460538079528916,4523.633299733333,58826933.5,3.599944439519315
2026,TSMC,TWN,3,logic_leading,136143,2022,TSM,foundry,113.25,37.6,42.53,9.06,50.96,30.0,2935334.0,70687.7,147.96666666666667,927.7333333333332,1270.2666666666669,10463.3045,33556.33,2.09,3.0,8.0,2.0,1.0,0.0,1088320154.0,43532806.16,131937729.0,4,0.07999999929359825,0.4499779209714974,0.37554083553606327,0.024081646558229298,35107101.741935484,33554.240000000005,0.001973359644795264,94688.19354838709,2280.248387096774,37.6,137273.60888888888,0.7297708322408095,0.31180384434637676,3.2065427759675766,24.0,11.0,239.99999788079472,16.919169828528304,2723.2071962666664,88404922.84,3.59982333598546
2020,TSMC,TWN,5,logic_leading,0,2020,TSM,foundry,45.25,38.0,17.18,3.62,20.36,4.0,40006.0,600.1,34.0,197.75,307.5,3.8054166666666656,4.82,2.71,3.0,8.0,3.0,0.0,0.0,880778716.0,14679645.266666668,41756367.0,0,0.07999999823204425,0.44994474143768526,0.37966849989682877,0.014999875021871173,176155743.2,2.1100000000000003,0.0,8001.2,120.02000000000001,38.0,6723.5,0.6410048622366289,0.6538516609392896,0.4390878349085235,24.0,11.0,31.999999292817698,17.09790017463204,7.9111865,27076721.733333334,3.5995578519532425
2021,TSMC,TWN,5,logic_leading,53296,2020,TSM,foundry,62.97,39.5,24.9,5.04,28.34,7.0,209085.0,3136.2000000000003,44.57142857142857,243.57142857142856,307.1428571428572,4.252083333333333,5.1,2.93,1.0,5.0,1.0,0.0,0.0,1111785028.0,18529750.466666665,52923444.0,1,0.08003811211627582,0.450055574876043,0.39542638724112456,0.014999569555111295,138973128.5,2.1699999999999995,0.0004945598417408506,26135.625,392.02500000000003,39.5,10856.326530612243,0.7904496986555398,0.6970628415300547,0.41316937723125735,5.0,6.0,56.02667848139306,17.777195207603697,50.92713214285714,34393693.53333333,3.6021598560483694
2022,TSMC,TWN,5,logic_leading,95116,2020,TSM,foundry,74.93,38.9,29.18,5.99,33.72,8.0,152204.0,2283.0,43.0,236.875,290.625,80.2238888888889,278.45,2.05,4.0,9.0,4.0,0.0,0.0,1148168388.0,19136139.8,54549224.0,2,0.0799412774597454,0.45002001267823283,0.38943012959522044,0.014999507243520253,127574265.33333333,276.4,0.0009886307464162135,16911.555555555555,253.66666666666666,38.9,10185.625,0.8122588941277326,0.28707779169400216,3.402939748158382,36.0,13.0,63.95302196779632,17.505778493183257,36.0533225,35413084.2,3.5975174695948757
2023,TSMC,TWN,5,logic_leading,163173,2020,TSM,foundry,70.42,41.1,28.94,5.63,31.69,15.0,991098.0,23611.1,156.0,414.9333333333333,343.8,7427.86695652174,35640.01,1.38,7.0,7.428571428571429,3.0,3.0,1.0,1053770850.0,17562847.5,51618069.0,3,0.07994887702429881,0.4500141941207868,0.4109627888247261,0.02382314985687605,65860678.125,35638.630000000005,0.0014822134387351778,61943.625,1475.69375,41.1,64729.59999999999,1.2034029389017786,0.20840786937636557,4.797317034829,52.0,14.428571428571429,119.92331553644821,18.495583378364337,411.23959679999996,34055221.5,3.5978129464951722
2024,TSMC,TWN,5,logic_leading,146070,2020,TSM,foundry,88.89,41.3,36.71,7.11,40.0,26.0,4904042.0,109819.4,145.5,804.6923076923077,1360.7692307692307,9161.659411764706,42124.09,1.91,6.0,6.666666666666667,4.0,2.0,0.0,1261097212.0,21018286.866666667,61310821.0,4,0.07998649926891102,0.44999437000793824,0.4129823330747853,0.02239364540645341,46707304.14814815,42122.17999999999,0.0019753086419753087,181631.1851851852,4067.385185185185,41.3,117082.73076923078,0.5909167937637689,0.2174869991201136,4.597156579444151,40.0,12.666666666666668,207.96489809916866,18.584767481327848,3946.244874,40292534.13333333,3.5993474347654026
