year,company,country_iso3_x,process_node_nm,fab_type,monthly_wafer_capacity,fab_started_year,company_name,ticker,country_iso3_y,segment,revenue_usd_bn,operating_margin_pct,operating_income_usd_bn,rd_spend_usd_bn,capex_usd_bn
2022,TSMC,TWN,3,logic_leading,0,2022,TSMC,TSM,TWN,foundry,74.93,38.9,29.18,5.99,33.72
2023,TSMC,TWN,3,logic_leading,38445,2022,TSMC,TSM,TWN,foundry,70.42,41.1,28.94,5.63,31.69
2024,TSMC,TWN,3,logic_leading,80106,2022,TSMC,TSM,TWN,foundry,88.89,41.3,36.71,7.11,40.0
2025,TSMC,TWN,3,logic_leading,129646,2022,TSMC,TSM,TWN,foundry,108.13,38.8,41.93,8.65,48.66
2026,TSMC,TWN,3,logic_leading,136143,2022,TSMC,TSM,TWN,foundry,113.25,37.6,42.53,9.06,50.96
2020,TSMC,TWN,5,logic_leading,0,2020,TSMC,TSM,TWN,foundry,45.25,38.0,17.18,3.62,20.36
2021,TSMC,TWN,5,logic_leading,53296,2020,TSMC,TSM,TWN,foundry,62.97,39.5,24.9,5.04,28.34
2022,TSMC,TWN,5,logic_leading,95116,2020,TSMC,TSM,TWN,foundry,74.93,38.9,29.18,5.99,33.72
2023,TSMC,TWN,5,logic_leading,163173,2020,TSMC,TSM,TWN,foundry,70.42,41.1,28.94,5.63,31.69
2024,TSMC,TWN,5,logic_leading,146070,2020,TSMC,TSM,TWN,foundry,88.89,41.3,36.71,7.11,40.0
2025,TSMC,TWN,5,logic_leading,165947,2020,TSMC,TSM,TWN,foundry,108.13,38.8,41.93,8.65,48.66
2026,TSMC,TWN,5,logic_leading,165561,2020,TSMC,TSM,TWN,foundry,113.25,37.6,42.53,9.06,50.96
2018,TSMC,TWN,7,logic_leading,0,2018,TSMC,TSM,TWN,foundry,34.58,37.1,12.84,2.77,15.56
2019,TSMC,TWN,7,logic_leading,42633,2018,TSMC,TSM,TWN,foundry,40.91,39.9,16.3,3.27,18.41
2020,TSMC,TWN,7,logic_leading,92536,2018,TSMC,TSM,TWN,foundry,45.25,38.0,17.18,3.62,20.36
2021,TSMC,TWN,7,logic_leading,129499,2018,TSMC,TSM,TWN,foundry,62.97,39.5,24.9,5.04,28.34
2022,TSMC,TWN,7,logic_leading,146937,2018,TSMC,TSM,TWN,foundry,74.93,38.9,29.18,5.99,33.72
2023,TSMC,TWN,7,logic_leading,151030,2018,TSMC,TSM,TWN,foundry,70.42,41.1,28.94,5.63,31.69
2024,TSMC,TWN,7,logic_leading,134531,2018,TSMC,TSM,TWN,foundry,88.89,41.3,36.71,7.11,40.0
2025,TSMC,TWN,7,logic_leading,149236,2018,TSMC,TSM,TWN,foundry,108.13,38.8,41.93,8.65,48.66
2026,TSMC,TWN,7,logic_leading,148514,2018,TSMC,TSM,TWN,foundry,113.25,37.6,42.53,9.06,50.96
2015,TSMC,TWN,16,logic_mature,0,2015,TSMC,TSM,TWN,foundry,27.31,42.3,11.56,2.18,12.29
2016,TSMC,TWN,16,logic_mature,62369,2015,TSMC,TSM,TWN,foundry,29.19,43.4,12.66,2.34,13.14
2017,TSMC,TWN,16,logic_mature,119768,2015,TSMC,TSM,TWN,foundry,32.11,37.4,12.02,2.57,14.45
2018,TSMC,TWN,16,logic_mature,196357,2015,TSMC,TSM,TWN,foundry,34.58,37.1,12.84,2.77,15.56
2019,TSMC,TWN,16,logic_mature,175711,2015,TSMC,TSM,TWN,foundry,40.91,39.9,16.3,3.27,18.41
2020,TSMC,TWN,16,logic_mature,189222,2015,TSMC,TSM,TWN,foundry,45.25,38.0,17.18,3.62,20.36
2021,TSMC,TWN,16,logic_mature,180878,2015,TSMC,TSM,TWN,foundry,62.97,39.5,24.9,5.04,28.34
2022,TSMC,TWN,16,logic_mature,187306,2015,TSMC,TSM,TWN,foundry,74.93,38.9,29.18,5.99,33.72
2023,TSMC,TWN,16,logic_mature,176020,2015,TSMC,TSM,TWN,foundry,70.42,41.1,28.94,5.63,31.69
2024,TSMC,TWN,16,logic_mature,179554,2015,TSMC,TSM,TWN,foundry,88.89,41.3,36.71,7.11,40.0
2025,TSMC,TWN,16,logic_mature,187911,2015,TSMC,TSM,TWN,foundry,108.13,38.8,41.93,8.65,48.66
2026,TSMC,TWN,16,logic_mature,189893,2015,TSMC,TSM,TWN,foundry,113.25,37.6,42.53,9.06,50.96
2011,TSMC,TWN,28,logic_mature,0,2011,TSMC,TSM,TWN,foundry,16.32,42.8,6.99,1.31,7.35
2012,TSMC,TWN,28,logic_mature,68869,2011,TSMC,TSM,TWN,foundry,17.56,36.1,6.34,1.4,7.9
2013,TSMC,TWN,28,logic_mature,137349,2011,TSMC,TSM,TWN,foundry,21.36,39.1,8.34,1.71,9.61
2014,TSMC,TWN,28,logic_mature,215975,2011,TSMC,TSM,TWN,foundry,23.93,37.4,8.96,1.91,10.77
2015,TSMC,TWN,28,logic_mature,215031,2011,TSMC,TSM,TWN,foundry,27.31,42.3,11.56,2.18,12.29
2016,TSMC,TWN,28,logic_mature,196285,2011,TSMC,TSM,TWN,foundry,29.19,43.4,12.66,2.34,13.14
2017,TSMC,TWN,28,logic_mature,203765,2011,TSMC,TSM,TWN,foundry,32.11,37.4,12.02,2.57,14.45
2018,TSMC,TWN,28,logic_mature,193860,2011,TSMC,TSM,TWN,foundry,34.58,37.1,12.84,2.77,15.56
2019,TSMC,TWN,28,logic_mature,200233,2011,TSMC,TSM,TWN,foundry,40.91,39.9,16.3,3.27,18.41
2020,TSMC,TWN,28,logic_mature,194091,2011,TSMC,TSM,TWN,foundry,45.25,38.0,17.18,3.62,20.36
2021,TSMC,TWN,28,logic_mature,216874,2011,TSMC,TSM,TWN,foundry,62.97,39.5,24.9,5.04,28.34
2022,TSMC,TWN,28,logic_mature,203670,2011,TSMC,TSM,TWN,foundry,74.93,38.9,29.18,5.99,33.72
2023,TSMC,TWN,28,logic_mature,197831,2011,TSMC,TSM,TWN,foundry,70.42,41.1,28.94,5.63,31.69
2024,TSMC,TWN,28,logic_mature,212299,2011,TSMC,TSM,TWN,foundry,88.89,41.3,36.71,7.11,40.0
2025,TSMC,TWN,28,logic_mature,188401,2011,TSMC,TSM,TWN,foundry,108.13,38.8,41.93,8.65,48.66
2026,TSMC,TWN,28,logic_mature,198923,2011,TSMC,TSM,TWN,foundry,113.25,37.6,42.53,9.06,50.96
2024,TSMC,USA,5,logic_leading,0,2024,TSMC,TSM,TWN,foundry,88.89,41.3,36.71,7.11,40.0
2025,TSMC,USA,5,logic_leading,42127,2024,TSMC,TSM,TWN,foundry,108.13,38.8,41.93,8.65,48.66
2026,TSMC,USA,5,logic_leading,44554,2024,TSMC,TSM,TWN,foundry,113.25,37.6,42.53,9.06,50.96
2026,TSMC,USA,4,logic_leading,30882,2026,TSMC,TSM,TWN,foundry,113.25,37.6,42.53,9.06,50.96
2024,TSMC,JPN,28,logic_mature,0,2024,TSMC,TSM,TWN,foundry,88.89,41.3,36.71,7.11,40.0
2025,TSMC,JPN,28,logic_mature,58031,2024,TSMC,TSM,TWN,foundry,108.13,38.8,41.93,8.65,48.66
2026,TSMC,JPN,28,logic_mature,57313,2024,TSMC,TSM,TWN,foundry,113.25,37.6,42.53,9.06,50.96
2026,TSMC,DEU,28,logic_mature,22187,2026,TSMC,TSM,TWN,foundry,113.25,37.6,42.53,9.06,50.96
2022,Samsung Foundry,KOR,3,logic_leading,0,2022,Samsung Foundry,005930,KOR,foundry,18.03,42.9,7.73,1.44,8.11
2023,Samsung Foundry,KOR,3,logic_leading,26145,2022,Samsung Foundry,005930,KOR,foundry,12.36,39.0,4.82,0.99,5.56
2024,Samsung Foundry,KOR,3,logic_leading,47947,2022,Samsung Foundry,005930,KOR,foundry,18.09,41.8,7.55,1.45,8.14
2025,Samsung Foundry,KOR,3,logic_leading,85089,2022,Samsung Foundry,005930,KOR,foundry,20.43,42.4,8.66,1.63,9.19
2026,Samsung Foundry,KOR,3,logic_leading,91799,2022,Samsung Foundry,005930,KOR,foundry,21.77,38.6,8.41,1.74,9.8
2020,Samsung Foundry,KOR,5,logic_leading,0,2020,Samsung Foundry,005930,KOR,foundry,14.49,38.1,5.52,1.16,6.52
2021,Samsung Foundry,KOR,5,logic_leading,29024,2020,Samsung Foundry,005930,KOR,foundry,16.46,44.5,7.32,1.32,7.41
2022,Samsung Foundry,KOR,5,logic_leading,56626,2020,Samsung Foundry,005930,KOR,foundry,18.03,42.9,7.73,1.44,8.11
2023,Samsung Foundry,KOR,5,logic_leading,85759,2020,Samsung Foundry,005930,KOR,foundry,12.36,39.0,4.82,0.99,5.56
2024,Samsung Foundry,KOR,5,logic_leading,90240,2020,Samsung Foundry,005930,KOR,foundry,18.09,41.8,7.55,1.45,8.14
2025,Samsung Foundry,KOR,5,logic_leading,85147,2020,Samsung Foundry,005930,KOR,foundry,20.43,42.4,8.66,1.63,9.19
2026,Samsung Foundry,KOR,5,logic_leading,102087,2020,Samsung Foundry,005930,KOR,foundry,21.77,38.6,8.41,1.74,9.8
2018,Samsung Foundry,KOR,7,logic_leading,0,2018,Samsung Foundry,005930,KOR,foundry,12.1,41.9,5.07,0.97,5.45
2019,Samsung Foundry,KOR,7,logic_leading,32917,2018,Samsung Foundry,005930,KOR,foundry,12.78,39.0,4.99,1.02,5.75
2020,Samsung Foundry,KOR,7,logic_leading,58889,2018,Samsung Foundry,005930,KOR,foundry,14.49,38.1,5.52,1.16,6.52
2021,Samsung Foundry,KOR,7,logic_leading,95139,2018,Samsung Foundry,005930,KOR,foundry,16.46,44.5,7.32,1.32,7.41
2022,Samsung Foundry,KOR,7,logic_leading,106358,2018,Samsung Foundry,005930,KOR,foundry,18.03,42.9,7.73,1.44,8.11
2023,Samsung Foundry,KOR,7,logic_leading,87031,2018,Samsung Foundry,005930,KOR,foundry,12.36,39.0,4.82,0.99,5.56
2024,Samsung Foundry,KOR,7,logic_leading,98277,2018,Samsung Foundry,005930,KOR,foundry,18.09,41.8,7.55,1.45,8.14
2025,Samsung Foundry,KOR,7,logic_leading,98984,2018,Samsung Foundry,005930,KOR,foundry,20.43,42.4,8.66,1.63,9.19
2026,Samsung Foundry,KOR,7,logic_leading,114515,2018,Samsung Foundry,005930,KOR,foundry,21.77,38.6,8.41,1.74,9.8
2015,Samsung Foundry,KOR,14,logic_mature,0,2015,Samsung Foundry,005930,KOR,foundry,6.52,40.7,2.65,0.52,2.94
2016,Samsung Foundry,KOR,14,logic_mature,51020,2015,Samsung Foundry,005930,KOR,foundry,8.55,40.7,3.48,0.68,3.85
2017,Samsung Foundry,KOR,14,logic_mature,102867,2015,Samsung Foundry,005930,KOR,foundry,10.38,40.2,4.17,0.83,4.67
2018,Samsung Foundry,KOR,14,logic_mature,164423,2015,Samsung Foundry,005930,KOR,foundry,12.1,41.9,5.07,0.97,5.45
2019,Samsung Foundry,KOR,14,logic_mature,148485,2015,Samsung Foundry,005930,KOR,foundry,12.78,39.0,4.99,1.02,5.75
2020,Samsung Foundry,KOR,14,logic_mature,152847,2015,Samsung Foundry,005930,KOR,foundry,14.49,38.1,5.52,1.16,6.52
2021,Samsung Foundry,KOR,14,logic_mature,139265,2015,Samsung Foundry,005930,KOR,foundry,16.46,44.5,7.32,1.32,7.41
2022,Samsung Foundry,KOR,14,logic_mature,159199,2015,Samsung Foundry,005930,KOR,foundry,18.03,42.9,7.73,1.44,8.11
2023,Samsung Foundry,KOR,14,logic_mature,144403,2015,Samsung Foundry,005930,KOR,foundry,12.36,39.0,4.82,0.99,5.56
2024,Samsung Foundry,KOR,14,logic_mature,145852,2015,Samsung Foundry,005930,KOR,foundry,18.09,41.8,7.55,1.45,8.14
2025,Samsung Foundry,KOR,14,logic_mature,157324,2015,Samsung Foundry,005930,KOR,foundry,20.43,42.4,8.66,1.63,9.19
2026,Samsung Foundry,KOR,14,logic_mature,152597,2015,Samsung Foundry,005930,KOR,foundry,21.77,38.6,8.41,1.74,9.8
2024,Samsung Foundry,USA,4,logic_leading,0,2024,Samsung Foundry,005930,KOR,foundry,18.09,41.8,7.55,1.45,8.14
2025,Samsung Foundry,USA,4,logic_leading,33061,2024,Samsung Foundry,005930,KOR,foundry,20.43,42.4,8.66,1.63,9.19
2026,Samsung Foundry,USA,4,logic_leading,33486,2024,Samsung Foundry,005930,KOR,foundry,21.77,38.6,8.41,1.74,9.8
2023,Intel,USA,7,logic_leading,0,2023,Intel,INTC,USA,idm_cpu,53.91,10.6,5.71,10.78,13.48
2024,Intel,USA,7,logic_leading,19876,2023,Intel,INTC,USA,idm_cpu,54.42,8.8,4.8,10.88,13.61
2025,Intel,USA,7,logic_leading,65381,2023,Intel,INTC,USA,idm_cpu,57.44,9.2,5.29,11.49,14.36
2026,Intel,USA,7,logic_leading,60084,2023,Intel,INTC,USA,idm_cpu,59.79,12.5,7.47,11.96,14.95
2020,Intel,USA,10,logic_leading,0,2020,Intel,INTC,USA,idm_cpu,79.56,20.4,16.24,15.91,19.89
2021,Intel,USA,10,logic_leading,27861,2020,Intel,INTC,USA,idm_cpu,72.13,20.7,14.92,14.43,18.03
2022,Intel,USA,10,logic_leading,54058,2020,Intel,INTC,USA,idm_cpu,64.11,7.9,5.06,12.82,16.03
2023,Intel,USA,10,logic_leading,81664,2020,Intel,INTC,USA,idm_cpu,53.91,10.6,5.71,10.78,13.48
2024,Intel,USA,10,logic_leading,87794,2020,Intel,INTC,USA,idm_cpu,54.42,8.8,4.8,10.88,13.61
2025,Intel,USA,10,logic_leading,85991,2020,Intel,INTC,USA,idm_cpu,57.44,9.2,5.29,11.49,14.36
2026,Intel,USA,10,logic_leading,90942,2020,Intel,INTC,USA,idm_cpu,59.79,12.5,7.47,11.96,14.95
2015,Intel,USA,14,logic_mature,0,2015,Intel,INTC,USA,idm_cpu,52.71,17.6,9.29,10.54,13.18
2016,Intel,USA,14,logic_mature,32978,2015,Intel,INTC,USA,idm_cpu,61.27,21.6,13.22,12.25,15.32
2017,Intel,USA,14,logic_mature,64059,2015,Intel,INTC,USA,idm_cpu,66.18,15.8,10.43,13.24,16.54
2018,Intel,USA,14,logic_mature,102162,2015,Intel,INTC,USA,idm_cpu,66.06,20.2,13.32,13.21,16.51
2019,Intel,USA,14,logic_mature,102219,2015,Intel,INTC,USA,idm_cpu,73.31,21.4,15.67,14.66,18.33
2020,Intel,USA,14,logic_mature,97400,2015,Intel,INTC,USA,idm_cpu,79.56,20.4,16.24,15.91,19.89
2021,Intel,USA,14,logic_mature,94968,2015,Intel,INTC,USA,idm_cpu,72.13,20.7,14.92,14.43,18.03
2022,Intel,USA,14,logic_mature,112242,2015,Intel,INTC,USA,idm_cpu,64.11,7.9,5.06,12.82,16.03
2023,Intel,USA,14,logic_mature,101647,2015,Intel,INTC,USA,idm_cpu,53.91,10.6,5.71,10.78,13.48
2024,Intel,USA,14,logic_mature,96404,2015,Intel,INTC,USA,idm_cpu,54.42,8.8,4.8,10.88,13.61
